,PDB,SP
665,1BC7,P28324
666,1BCC,P00125
667,1BCF,P0ABD3
668,1BCG,P56637
669,1BCM,P07636
670,1BCP,P04977
671,1BCR,P08819
672,1BCX,P09850
673,1BD0,P10724
674,1BD3,Q26998
675,1BD7,P62697
676,1BD8,P55273
677,1BD9,P30086
678,1BDB,P47227
679,1BDF,P0A7Z4
680,1BDG,Q26609
681,1BDH,P0ACP7
682,1BDL,P04587
683,1BDM,P10584
684,1BDO,P0ABD8
685,1BDX,P0A809
686,1BDY,P09215
687,1BE4,P52175
688,1BE9,P31016
689,1BEA,P01088
690,1BED,P32557
691,1BEO,P15570
692,1BET,P01139
693,1BEV,P12915
694,1BF2,P10342
695,1BF3,P00438
696,1BF5,P42224
697,1BF6,P45548
698,1BFD,P20906
699,1BFN,P10538
700,1BFO,P20761
701,1BFS,P25799
702,1BFT,Q04207
703,1BFV,P18529
704,1BG0,P51541
705,1BG1,P42227
706,1BG2,P33176
707,1BG3,P05708
708,1BG6,Q44297
709,1BG7,P07229
710,1BG8,P0AES9
711,1BGA,P22073
712,1BGC,P35833
713,1BGD,P35834
714,1BGF,P42228
715,1BGT,P04547
716,1BGW,P06786
717,1BGX,P19821
718,1BH0,P01275
719,1BH3,P39767
720,1BH5,Q04760
721,1BH6,P00781
722,1BH8,Q15544
723,1BHD,P46939
724,1BHE,P26509
725,1BHF,P06239
726,1BHG,P08236
727,1BHJ,P13255
728,1BHN,P52174
729,1BHO,P11215
730,1BHP,P01543
731,1BHT,P14210
732,1BHW,P12851
733,1BI0,P0DJL7
734,1BI5,P30074
735,1BI7,Q00534
736,1BI9,Q63639
737,1BIA,P06709
738,1BIF,P25114
739,1BIH,P25033
740,1BII,P01887
741,1BIK,P02760
742,1BIN,P02238
743,1BIO,P00746
744,1BIT,P35031
745,1BIX,P27695
746,1BIY,O77698
747,1BJ1,P15692
748,1BJ3,P23807
749,1BJ4,P34896
750,1BJ7,Q28133
751,1BJA,P22915
752,1BJF,P61602
753,1BJI,P03472
754,1BJN,P23721
755,1BJP,Q01468
756,1BJQ,P05045
757,1BJR,P06873
758,1BK0,P05326
759,1BK1,P33557
760,1BK2,P07751
761,1BK4,P00637
762,1BK5,Q02821
763,1BK7,P23540
764,1BK9,P14418
765,1BKB,P56635
766,1BKC,P78536
767,1BKJ,Q56691
768,1BKL,P00524
769,1BKX,P05132
770,1BKZ,P47929
771,1BL0,P0ACH5
772,1BL8,P0A334
773,1BL9,P24474
774,1BLB,P02522
775,1BLE,P26380
776,1BLF,P24627
777,1BLI,P06278
778,1BLL,P00727
779,1BLS,P05364
780,1BLU,P00208
781,1BM2,P62993
782,1BM7,P02766
783,1BM8,P39678
784,1BM9,P0CI76
785,1BMF,P19483
786,1BMG,P01888
787,1BML,P00747
788,1BMM,P28507
789,1BMO,P09486
790,1BMP,P18075
791,1BMQ,P29466
792,1BMT,P13009
793,1BMV,P23009
794,1BN6,P59336
795,1BN8,P39116
796,1BNC,P24182
797,1BNK,P29372
798,1BNL,P39060
799,1BNZ,P39476
800,1BO1,P78356
801,1BO5,P0A6F3
802,1BO7,P00469
803,1BOB,Q12341
804,1BOG,P01864
805,1BOH,P00586
806,1BOL,P08056
807,1BOO,P11409
808,1BOQ,P00778
809,1BOS,P69179
810,1BOW,P39075
811,1BOX,P05798
812,1BOY,P13726
813,1BOZ,P00374
814,1BP1,P17213
815,1BP2,P00593
816,1BP3,P16471
817,1BP4,P00784
818,1BPB,P06766
819,1BPO,P11442
820,1BPX,P06746
821,1BQ3,P00950
822,1BQ8,P24297
823,1BQB,P81177
824,1BQG,P42206
825,1BQK,P19567
826,1BQL,P00700
827,1BQP,P02867
828,1BQQ,P50281
829,1BQS,Q13477
830,1BQU,P40189
831,1BQY,Q91516
832,1BR1,P10587
833,1BR5,P02879
834,1BR9,P16035
835,1BRL,P07740
836,1BRM,P0A9Q9
837,1BRO,P29715
838,1BRP,P02753
839,1BRU,P08419
840,1BRW,P77836
841,1BRY,P33185
842,1BS0,P12998
843,1BS2,Q05506
844,1BS4,P0A6K3
845,1BS9,O59893
846,1BSG,P14559
847,1BSL,P07739
848,1BSV,P32055
849,1BSW,Q9PW35
850,1BSX,P10828
851,1BT0,Q9SHE7
852,1BT1,Q9ZP19
853,1BT4,Q59196
854,1BT6,P17785
855,1BT9,P02931
856,1BTE,P27038
857,1BTM,P00943
858,1BTN,Q62261
859,1BU2,Q01043
860,1BU3,P56503
861,1BU7,P14779
862,1BU8,P54318
863,1BUC,Q06319
864,1BUE,P52663
865,1BUN,P00617
866,1BUO,Q05516
867,1BV1,P15494
868,1BV4,P08661
869,1BVB,Q57142
870,1BVN,P00690
871,1BVP,P69361
872,1BVQ,P56653
873,1BVR,P9WGR1
874,1BVU,Q56304
875,1BVW,Q9C1S9
876,1BVZ,Q08751
877,1BW0,P33447
878,1BW8,P84092
879,1BW9,Q59771
880,1BWC,P00390
881,1BWD,P08078
882,1BWK,Q02899
883,1BWO,P24296
884,1BWP,Q29460
885,1BWZ,P44859
886,1BX0,P00455
887,1BX4,P55263
888,1BX7,P80302
889,1BX9,P46422
890,1BXB,P26997
891,1BXC,P56681
892,1BXE,P48286
893,1BXI,P09883
894,1BXK,P27830
895,1BXN,P0C2C2
896,1BXS,P51977
897,1BXU,P55020
898,1BXW,P0A910
899,1BXY,P74909
900,1BXZ,P14941
901,1BY2,Q08380
902,1BY3,P06971
903,1BY4,P19793
904,1BY7,P05120
905,1BY9,P03120
906,1BYF,P16108
907,1BYG,P41240
908,1BYL,P17493
909,1BYO,P07030
910,1BYQ,P07900
911,1BYU,P62825
912,1BYW,Q12809
913,1BZA,Q47066
914,1BZO,P00446
915,1BZW,P02872
916,1BZY,P00492
917,1C02,Q07688
918,1C04,P14122
919,1C08,P01823
920,1C0A,P21889
921,1C0E,P11064
922,1C0F,P07830
923,1C0I,P80324
924,1C0M,P03354
925,1C0N,P77444
926,1C14,P0AEK4
927,1C1F,P26788
928,1C1G,P42639
929,1C1K,P13342
930,1C1Y,P04049
931,1C1Z,P02749
932,1C21,P0AE18
933,1C25,P30304
934,1C28,Q60994
935,1C2A,P12940
936,1C2B,P21836
937,1C2R,P00094
938,1C2T,P08179
939,1C2Y,Q9XH32
940,1C39,P11456
941,1C3A,Q8AV97
942,1C3B,P00811
943,1C3C,Q9X0I0
944,1C3D,P01024
945,1C3F,P04067
946,1C3G,P25294
947,1C3Q,P39593
948,1C3V,P9WP23
949,1C3X,P81989
950,1C41,Q9UVT8
951,1C44,O62742
952,1C47,P00949
953,1C4A,P29166
954,1C4K,P43099
955,1C4O,Q56243
956,1C4R,Q63373
957,1C4T,P0AFG6
958,1C4Z,P68036
959,1C51,P0A405
960,1C52,P04164
961,1C53,P00120
962,1C5E,P03712
963,1C5K,P0A855
964,1C5M,P00742
965,1C5W,P00749
966,1C6O,P57736
967,1C72,P20136
968,1C76,P68802
969,1C7G,P31011
970,1C7H,P07445
971,1C7I,P37967
972,1C7K,P56406
973,1C7S,Q54468
974,1C7Z,P07953
975,1C82,Q54873
976,1C8B,P22321
977,1C8D,P17455
978,1C8E,P24840
979,1C8O,P07385
980,1C8Q,P0DUB6
981,1C8U,P0AGG2
982,1C8Z,P50586
983,1C9B,P20226
984,1C9H,P68106
985,1C9J,P29600
986,1C9K,Q05599
987,1C9O,P41016
988,1C9P,P82107
989,1C9S,Q9X6J6
990,1C9U,P13650
991,1C9W,O08782
992,1C9Y,P00480
993,1CA1,P0C216
994,1CA4,Q12933
995,1CA7,P14174
996,1CA9,P20333
997,1CAU,P50477
998,1CB0,Q13126
999,1CB2,P07987
1000,1CB4,P00442
1001,1CB5,Q13867
1002,1CB7,P80077
1003,1CB8,Q59288
1004,1CBF,O87696
1005,1CBG,P26205
1006,1CBI,P62965
1007,1CBK,P43777
1008,1CBL,P68871
1009,1CBQ,P29373
1010,1CBV,P01867
1011,1CBY,Q04470
1012,1CC0,P52565
1013,1CC1,P13065
1014,1CC5,P11732
1015,1CC7,P38636
1016,1CCD,P17559
1017,1CCR,Q0DI31
1018,1CD0,P01721
1019,1CD2,P16184
1020,1CD5,P0A759
1021,1CD8,P01732
1022,1CD9,P40223
1023,1CDG,P43379
1024,1CDH,P01730
1025,1CDK,P61926
1026,1CDL,P0DP23
1027,1CDO,P26325
1028,1CDT,P01452
1029,1CDZ,P18887
1030,1CE7,Q6ITZ3
1031,1CE9,P03069
1032,1CEC,P0C2S3
1033,1CEF,P15555
1034,1CEL,P62694
1035,1CEM,A3DC29
1036,1CEQ,Q27743
1037,1CER,P00361
1038,1CEV,P53608
1039,1CEW,P01038
1040,1CEZ,P00573
1041,1CF2,P10618
1042,1CF3,P13006
1043,1CF5,P24817
1044,1CF7,Q16254
1045,1CF9,P21179
1046,1CFB,P20241
1047,1CFM,P23577
1048,1CFR,P56200
1049,1CFV,P18524
1050,1CFW,P00273
1051,1CFY,Q03048
1052,1CFZ,P37182
1053,1CG2,P06621
1054,1CG5,P56691
1055,1CGE,P03956
1056,1CGM,P69475
1057,1CGN,P00138
1058,1CGP,P0ACJ8
1059,1CGT,P30920
1060,1CHH,P00044
1061,1CHK,P33665
1062,1CHM,P38488
1063,1CHP,P01556
1064,1CHU,P10902
1065,1CHZ,P58488
1066,1CI0,P38075
1067,1CI1,P52270
1068,1CI3,P95522
1069,1CI4,O75531
1070,1CI6,P18848
1071,1CI7,P13100
1072,1CI8,Q9KX40
1073,1CIA,P00484
1074,1CID,P05540
1075,1CII,P06716
1076,1CIQ,P01053
1077,1CIT,P22829
1078,1CIV,P46489
1079,1CIY,P0A366
1080,1CJ0,P07511
1081,1CJA,P80197
1082,1CJB,P20035
1083,1CJC,P08165
1084,1CJD,P22535
1085,1CJL,P07711
1086,1CJM,P0DMM9
1087,1CJS,P54050
1088,1CJX,P80064
1089,1CJY,P47712
1090,1CK4,P18614
1091,1CK7,P08253
1092,1CKE,P0A6I0
1093,1CKI,Q06486
1094,1CKL,P15529
1095,1CKM,Q84424
1096,1CKQ,P00642
1097,1CKS,P33552
1098,1CKT,P63159
1099,1CL0,P0A9P4
1100,1CL1,P06721
1101,1CL5,P59071
1102,1CL6,P23295
1103,1CLC,P0C2S4
1104,1CLE,P32947
1105,1CLI,P08178
1106,1CLK,P50910
1107,1CLM,P07463
1108,1CLP,P24605
1109,1CLQ,Q38087
1110,1CLV,P56634
1111,1CLW,P12528
1112,1CLX,P14768
1113,1CLZ,P03987
1114,1CM0,Q92831
1115,1CM2,P0AA04
1116,1CM5,P09373
1117,1CM7,P30125
1118,1CM8,P53778
1119,1CM9,Q98157
1120,1CMA,P0A8U6
1121,1CMI,P63167
1122,1CMK,P61925
1123,1CMS,P00794
1124,1CMV,P16753
1125,1CMX,P0CG48
1126,1CN3,P49302
1127,1CN4,P19235
1128,1CNE,P17571
1129,1CNO,P82903
1130,1CNQ,P00636
1131,1CNS,P23951
1132,1CNT,P26441
1133,1CNV,P49347
1134,1CNZ,P37412
1135,1CO6,P00083
1136,1COJ,Q9X6W9
1137,1COL,Q47108
1138,1COM,P19080
1139,1COV,Q66282
1140,1COY,P22637
1141,1COZ,P27623
1142,1CP2,P00456
1143,1CP3,P42574
1144,1CP7,P80561
1145,1CPB,P00732
1146,1CPC,P07122
1147,1CPJ,P00787
1148,1CPO,P04963
1149,1CPQ,P00147
1150,1CPT,P33006
1151,1CPY,P00729
1152,1CQA,P25816
1153,1CQD,P82474
1154,1CQE,P05979
1155,1CQI,P0A836
1156,1CQM,P23370
1157,1CQP,P20701
1158,1CQT,Q16633
1159,1CQV,P34071
1160,1CQX,P39662
1161,1CQZ,P34914
1162,1CR0,P03692
1163,1CR5,P18759
1164,1CRB,P02696
1165,1CRC,P00004
1166,1CRK,P11009
1167,1CRL,P20261
1168,1CRW,P56649
1169,1CRX,P06956
1170,1CS1,P00935
1171,1CS6,P28685
1172,1CSB,P07858
1173,1CSE,P01051
1174,1CSG,P04141
1175,1CSM,P32178
1176,1CSN,P40233
1177,1CSO,P68390
1178,1CSP,P32081
1179,1CT9,P22106
1180,1CTF,P0A7K2
1181,1CTJ,Q09099
1182,1CTM,P36438
1183,1CTN,P07254
1184,1CTS,P00889
1185,1CTX,P01391
1186,1CUO,P12335
1187,1CV2,D4Z2G1
1188,1CV8,P81297
1189,1CVI,P15309
1190,1CVJ,P11940
1191,1CVL,P0DUB9
1192,1CVM,O66037
1193,1CVR,P95493
1194,1CVU,Q05769
1195,1CVW,P08709
1196,1CW0,P09184
1197,1CW3,P05091
1198,1CWP,P03601
1199,1CWR,P30305
1200,1CWU,P80030
1201,1CWV,P11922
1202,1CWY,O87172
1203,1CX4,P12369
1204,1CX8,P02786
1205,1CXA,P0C0X8
1206,1CXP,P05164
1207,1CXV,P33435
1208,1CXY,P82291
1209,1CXZ,Q16512
1210,1CY0,P06612
1211,1CY5,O14727
1212,1CYC,P00025
1213,1CYD,P08074
1214,1CYG,P31797
1215,1CYI,P08197
1216,1CYN,P23284
1217,1CYO,P00171
1218,1CYW,P0ABJ1
